π,λ,actDCF,minDCF,ERROR RATE (%)
0.1,0.0001,0.407,0.372,16.85
0.1,0.00031622776601683794,0.401,0.37,16.95
0.1,0.001,0.413,0.37,17.55
0.1,0.0031622776601683794,0.433,0.367,18.55
0.1,0.01,0.449,0.363,21.8
0.1,0.03162277660168379,0.596,0.364,29.65
0.1,0.1,0.915,0.365,46.1
0.1,0.31622776601683794,1.0,0.364,50.4
0.1,1.0,1.0,0.364,50.4
0.1,3.1622776601683795,1.0,0.363,50.4
0.1,10.0,1.0,0.363,50.4
0.1,31.622776601683793,1.0,0.362,50.4
0.1,100.0,1.0,0.362,50.4
0.2,0.0001,0.406,0.364,12.05
0.2,0.00031622776601683794,0.408,0.364,12.05
0.2,0.001,0.409,0.363,12.1
0.2,0.0031622776601683794,0.431,0.363,12.5
0.2,0.01,0.443,0.361,13.55
0.2,0.03162277660168379,0.567,0.362,16.8
0.2,0.1,0.851,0.364,24.9
0.2,0.31622776601683794,0.997,0.364,45.75
0.2,1.0,1.0,0.364,50.4
0.2,3.1622776601683795,1.0,0.363,50.4
0.2,10.0,1.0,0.363,50.4
0.2,31.622776601683793,1.0,0.362,50.4
0.2,100.0,1.0,0.362,50.4
0.30000000000000004,0.0001,0.403,0.361,10.0
0.30000000000000004,0.00031622776601683794,0.406,0.361,10.0
0.30000000000000004,0.001,0.413,0.359,10.15
0.30000000000000004,0.0031622776601683794,0.43,0.36,10.2
0.30000000000000004,0.01,0.442,0.363,10.55
0.30000000000000004,0.03162277660168379,0.563,0.362,11.45
0.30000000000000004,0.1,0.829,0.364,14.65
0.30000000000000004,0.31622776601683794,0.995,0.364,25.7
0.30000000000000004,1.0,1.0,0.364,49.1
0.30000000000000004,3.1622776601683795,1.0,0.364,50.4
0.30000000000000004,10.0,1.0,0.363,50.4
0.30000000000000004,31.622776601683793,1.0,0.362,50.4
0.30000000000000004,100.0,1.0,0.362,50.4
0.4,0.0001,0.403,0.36,9.65
0.4,0.00031622776601683794,0.406,0.36,9.65
0.4,0.001,0.412,0.361,9.65
0.4,0.0031622776601683794,0.43,0.361,9.65
0.4,0.01,0.448,0.362,9.55
0.4,0.03162277660168379,0.575,0.362,9.9
0.4,0.1,0.834,0.364,9.95
0.4,0.31622776601683794,0.995,0.364,12.7
0.4,1.0,1.0,0.364,26.55
0.4,3.1622776601683795,1.0,0.364,50.15
0.4,10.0,1.0,0.363,50.4
0.4,31.622776601683793,1.0,0.362,50.4
0.4,100.0,1.0,0.362,50.4
0.5,0.0001,0.402,0.364,9.3
0.5,0.00031622776601683794,0.405,0.365,9.3
0.5,0.001,0.413,0.365,9.35
0.5,0.0031622776601683794,0.43,0.364,9.25
0.5,0.01,0.457,0.361,9.25
0.5,0.03162277660168379,0.581,0.362,9.2
0.5,0.1,0.851,0.364,9.3
0.5,0.31622776601683794,0.995,0.364,9.25
0.5,1.0,1.0,0.364,9.2
0.5,3.1622776601683795,1.0,0.364,9.2
0.5,10.0,1.0,0.364,9.2
0.5,31.622776601683793,1.0,0.362,9.15
0.5,100.0,1.0,0.362,9.15
0.6,0.0001,0.399,0.366,9.35
0.6,0.00031622776601683794,0.403,0.366,9.4
0.6,0.001,0.413,0.365,9.35
0.6,0.0031622776601683794,0.424,0.365,9.45
0.6,0.01,0.457,0.361,9.5
0.6,0.03162277660168379,0.605,0.362,9.6
0.6,0.1,0.874,0.364,10.8
0.6,0.31622776601683794,0.996,0.364,13.2
0.6,1.0,1.0,0.364,27.75
0.6,3.1622776601683795,1.0,0.364,49.6
0.6,10.0,1.0,0.363,49.6
0.6,31.622776601683793,1.0,0.362,49.6
0.6,100.0,1.0,0.362,49.6
0.7000000000000001,0.0001,0.396,0.368,10.8
0.7000000000000001,0.00031622776601683794,0.402,0.367,10.8
0.7000000000000001,0.001,0.415,0.366,11.0
0.7000000000000001,0.0031622776601683794,0.411,0.366,10.9
0.7000000000000001,0.01,0.471,0.363,11.15
0.7000000000000001,0.03162277660168379,0.641,0.363,11.95
0.7000000000000001,0.1,0.907,0.364,14.75
0.7000000000000001,0.31622776601683794,0.999,0.364,26.6
0.7000000000000001,1.0,1.0,0.364,48.55
0.7000000000000001,3.1622776601683795,1.0,0.364,49.6
0.7000000000000001,10.0,1.0,0.362,49.6
0.7000000000000001,31.622776601683793,1.0,0.362,49.6
0.7000000000000001,100.0,1.0,0.362,49.6
0.8,0.0001,0.393,0.366,12.15
0.8,0.00031622776601683794,0.4,0.366,12.2
0.8,0.001,0.421,0.368,12.35
0.8,0.0031622776601683794,0.428,0.366,12.9
0.8,0.01,0.507,0.363,13.85
0.8,0.03162277660168379,0.708,0.362,16.75
0.8,0.1,0.948,0.364,25.7
0.8,0.31622776601683794,1.0,0.364,45.4
0.8,1.0,1.0,0.364,49.6
0.8,3.1622776601683795,1.0,0.363,49.6
0.8,10.0,1.0,0.362,49.6
0.8,31.622776601683793,1.0,0.362,49.6
0.8,100.0,1.0,0.362,49.6
0.9,0.0001,0.393,0.368,16.5
0.9,0.00031622776601683794,0.403,0.368,16.65
0.9,0.001,0.432,0.368,17.25
0.9,0.0031622776601683794,0.455,0.367,18.5
0.9,0.01,0.579,0.364,21.75
0.9,0.03162277660168379,0.847,0.362,30.2
0.9,0.1,0.992,0.364,45.75
0.9,0.31622776601683794,1.0,0.364,49.6
0.9,1.0,1.0,0.364,49.6
0.9,3.1622776601683795,1.0,0.362,49.6
0.9,10.0,1.0,0.362,49.6
0.9,31.622776601683793,1.0,0.362,49.6
0.9,100.0,1.0,0.362,49.6
